restriction_type,times_of_operation,maximum_stay,tariff,cashless_identifier,nearest_machine,road_name,postcode,controlled_parking_zone,valid_parking_permits,parking_bay_length_metres,disclaimer,easting,northing,longitude,latitude,unique_identifier,spatial_accuracy,last_uploaded,location,organisation_uri,:@computed_region_hxwp_gyfc,:@computed_region_6i9a_26nj,parking_spaces,epsg_27700_well_known_text_geometry,epsg_4326_well_known_text_geometry
disabled (dedicated),at any time,N/A,N/A,N/A,N/A,Iverson Road,NW6 2RB,CA-Q,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.193875,51.547993,46127349,Defined By Custodian,2019-11-29T23:02:13.000,"{'latitude': '51.547993', 'longitude': '-0.193875', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},18,132,1,,
disabled (blue badge),mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Chalton Street,NW1 1HY,CA-G,N/A,27,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529778,182891,-0.130461,51.530025,46049498,Defined By Custodian,2019-11-29T23:02:13.000,"{'latitude': '51.530025', 'longitude': '-0.130461', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},16,115,4,"LINESTRING (529770.4842910889 182907.3025844897,529768.8187887465 182906.18290499464,529784.2288079445 182883.53938663434,529785.7376541259 182884.57908902262)","LINESTRING (-0.13056391709988638 51.530172384960004,-0.13058832632462097 51.53016270490516,-0.1303746362694089 51.52995567307835,-0.13035251369048778 51.529964670313746)"
disabled (dedicated),at any time,N/A,N/A,N/A,N/A,Tonbridge Street,WC1H 9DZ,CA-D,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530227,182692,-0.124065,51.528133,46043074,Defined By Custodian,2019-11-29T23:01:58.000,"{'latitude': '51.528133', 'longitude': '-0.124065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},14,100,1,"LINESTRING (530227.4750476785 182696.6128937863,530225.7353397862 182695.70315419658,530228.4562099495 182690.2547137964,530230.2288980862 182691.14445910946)","LINESTRING (-0.12405739508486814 51.52817385632072,-0.12408279610911643 51.52816608140735,-0.12404560865698397 51.52811649036987,-0.12401973988118833 51.52812407799231)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Ariel Road,NW6 2DY,CA-Q,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.197976,51.547507,46126861,Defined By Custodian,2019-11-29T23:02:13.000,"{'latitude': '51.547507', 'longitude': '-0.197976', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},18,133,1,,
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Patshull Road,NW5 2LA,CA-M,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529214,184771,-0.137898,51.547049,46048376,Defined By Custodian,2019-11-29T23:02:11.000,"{'latitude': '51.547049', 'longitude': '-0.137898', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},4,29,1,"LINESTRING (529217.7353948712 184769.60950467899,529217.883805971 184771.5989352104,529211.6505397785 184772.2487492031,529211.4773934954 184770.29930722507)","LINESTRING (-0.1378447833263756 51.54703534916399,-0.1378419139095244 51.5470531939769,-0.13793151904003964 51.54706045941093,-0.13793473026607111 51.54704297962487)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Greenwood Place,NW5 1LB,CA-M,N/A,1000,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.143529,51.552836,46128547,Defined By Custodian,2019-11-29T23:02:14.000,"{'latitude': '51.552836', 'longitude': '-0.143529', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},12,87,2,,
disabled (dedicated),at any time,N/A,N/A,N/A,N/A,Stephenson Way,NW1 2HX,CA-G,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.135986,51.526342,46126852,Defined By Custodian,2019-11-29T23:02:13.000,"{'latitude': '51.526342', 'longitude': '-0.135986', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},15,104,1,,
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Polygon Road,NW1 1SR,CA-G,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529616,183071,-0.132729,51.531679,46049343,Defined By Custodian,2019-11-29T23:02:13.000,"{'latitude': '51.531679', 'longitude': '-0.132729', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},16,114,1,"LINESTRING (529617.9259255353 183074.48472909862,529618.9977834783 183072.82520413268,529614.0177665733 183069.54614275423,529612.929418508 183071.19567058183)","LINESTRING (-0.13270050600659672 51.53170982967885,-0.13268567247068988 51.53169466997504,-0.13275863424511591 51.531666343440754,-0.13277370907511915 51.53168141707368)"
disabled (green permit),at any time,N/A,N/A,N/A,N/A,Store Street,WC1E 7DU,CA-E,N/A,1067,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.132233,51.519772,46129447,Defined By Custodian,2019-11-29T23:02:14.000,"{'latitude': '51.519772', 'longitude': '-0.132233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},2,9,1,,
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Patshull Road,NW5 2LB,CA-M,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529018,184790,-0.140716,51.547265,46048405,Defined By Custodian,2019-11-29T23:02:11.000,"{'latitude': '51.547265', 'longitude': '-0.140716', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},4,25,1,"LINESTRING (529024.5536132724 184787.9842449643,529024.5865935168 184790.16362112435,529018.1801810412 184790.38355816802,529018.2131612856 184788.33414480652,529018.3450822632 184788.2741619764)","LINESTRING (-0.1406224910465547 51.54724463223906,-0.14062121687204326 51.547264210505055,-0.14071347615184954 51.547267650106306,-0.14071375192138294 51.547249224736404,-0.1407118724415628 51.54724865555124)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Willes Road,NW5 3DS,CA-L,N/A,12,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",528791,184808,-0.143981,51.547478,46045389,Defined By Custodian,2019-11-29T23:02:04.000,"{'latitude': '51.547478', 'longitude': '-0.143981', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},12,86,2,"LINESTRING (528793.724882686 184802.11020145132,528795.2667091119 184803.25987236144,528787.8131738765 184813.9868018098,528786.2713474506 184812.91710800648)","LINESTRING (-0.14394441452469192 51.547424249921086,-0.14392177039693227 51.54743423040013,-0.1440252792645786 51.54753233135839,-0.1440478941599664 51.547523069605575)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Ossulston Street,NW1 1DF,CA-G,N/A,13,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.12952,51.531187,46126962,Defined By Custodian,2019-11-29T23:02:13.000,"{'latitude': '51.531187', 'longitude': '-0.12952', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},16,115,,,
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Gloucester Avenue,NW1 8HX,CA-J,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",528117,184133,-0.153942,51.541565,46047831,Defined By Custodian,2019-11-29T23:02:10.000,"{'latitude': '51.541565', 'longitude': '-0.153942', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},3,18,1,"LINESTRING (528115.5850972427 184136.57071014898,528114.7276108882 184135.41104210052,528119.9467345652 184131.9920207852,528120.7877307975 184133.19167738705)","LINESTRING (-0.15396116338156848 51.54159727417789,-0.1539739434046378 51.541587046701345,-0.15389996952041562 51.541555136732995,-0.15388741259513988 51.541565727316126)"
disabled (dedicated),at any time,N/A,N/A,N/A,N/A,Ariel Road,NW6 2DY,CA-Q,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.197976,51.547507,46126863,Defined By Custodian,2019-11-29T23:02:13.000,"{'latitude': '51.547507', 'longitude': '-0.197976', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},18,133,1,,
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Shirlock Road,NW3 2HS,CA-B,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",527885,185536,-0.156776,51.554227,46046125,Defined By Custodian,2019-11-29T23:02:05.000,"{'latitude': '51.554227', 'longitude': '-0.156776', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},7,47,1,"LINESTRING (527885.9766356993 185540.55882273227,527884.0720265849 185539.87901732454,527886.5043196097 185533.71078296326,527888.235782441 185534.40058550934)","LINESTRING (-0.15676026852309638 51.55426681740393,-0.15678797244007978 51.554261139275184,-0.15675514950629652 51.554205155640815,-0.15672993806908167 51.55421096280365)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Belsize Grove,NW3 4TX,CA-B,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",527428,185005,-0.163556,51.549558,46047143,Defined By Custodian,2019-11-29T23:02:08.000,"{'latitude': '51.549558', 'longitude': '-0.163556', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},1,8,1,"LINESTRING (527426.6607718793 185006.94156908224,527428.6313414824 185006.15179515266,527428.1366378163 185005.06210707262,527425.9352065023 185000.12352072826,527424.0718226935 185000.87330610445)","LINESTRING (-0.16357495950716203 51.54957505691122,-0.16354684047031098 51.54956751475501,-0.1635543659036568 51.54955783334719,-0.16358788643329727 51.54951394697251,-0.1636144748830432 51.5495211055668)"
disabled (dedicated),at any time,N/A,N/A,N/A,N/A,Maygrove Road,NW6 2EP,CA-Q,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.196743,51.547779,46126866,Defined By Custodian,2019-11-29T23:02:13.000,"{'latitude': '51.547779', 'longitude': '-0.196743', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},18,133,1,,
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Loveridge Road,NW6 2DX,CA-Q,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",524982,184701,-0.198922,51.547372,46044296,Defined By Custodian,2019-11-29T23:02:01.000,"{'latitude': '51.547372', 'longitude': '-0.198922', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},18,133,1,"LINESTRING (524986.4772235809 184700.7792071467,524985.9495396705 184702.40874069757,524979.8894197611 184700.54927296468,524980.4253487327 184698.86975372207)","LINESTRING (-0.1988584658533681 51.54736876208939,-0.19886549333027992 51.54738352371648,-0.19895350517761548 51.54736815332159,-0.1989463765778384 51.547352940646086)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,John Street,WC1X 8PF,CA-D,N/A,1702,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.114539,51.521359,46128099,Defined By Custodian,2019-11-29T23:02:14.000,"{'latitude': '51.521359', 'longitude': '-0.114539', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},11,79,2,,
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Lyncroft Gardens,NW6 1LB,CA-P,N/A,972,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.19267,51.553667,46129565,Defined By Custodian,2019-11-29T23:02:14.000,"{'latitude': '51.553667', 'longitude': '-0.19267', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},5,33,1,,
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Lamble Street,NW5 4AS,CA-L,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",528143,185450,-0.153087,51.553395,46046079,Defined By Custodian,2019-11-29T23:02:05.000,"{'latitude': '51.553395', 'longitude': '-0.153087', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},7,48,1,"LINESTRING (528146.6277522884 185450.27466630322,528145.7537758116 185451.63427711866,528140.6913082956 185448.5351642305,528141.6147551389 185447.11557058495)","LINESTRING (-0.15303558749174465 51.553396379159466,-0.15304769151654937 51.55340879602671,-0.1531217989440454 51.55338209317048,-0.15310900359119523 51.55336912603282)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Bartholomew Road,NW1 9JJ,CA-M,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.139919,51.545504,46126822,Defined By Custodian,2019-11-29T23:02:13.000,"{'latitude': '51.545504', 'longitude': '-0.139919', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},4,25,1,,
disabled (dedicated),at any time,N/A,N/A,N/A,N/A,Ossulston Street,NW1 1DF,CA-G,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.12952,51.531187,46127152,Defined By Custodian,2019-11-29T23:02:13.000,"{'latitude': '51.531187', 'longitude': '-0.12952', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},16,115,,,
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Berkley Road,NW1 8YP,CA-J,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",527987,184092,-0.15583,51.541226,46047829,Defined By Custodian,2019-11-29T23:02:10.000,"{'latitude': '51.541226', 'longitude': '-0.15583', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},3,18,1,"LINESTRING (527986.6488317437 184096.10229411258,527988.6523815913 184095.60243719514,527986.9374088823 184090.0340311348,527985.0245547068 184090.61386515902)","LINESTRING (-0.15583410242206389 51.5412628048099,-0.15580540915562927 51.54125785880289,-0.1558321491684843 51.54120820415026,-0.15585950624220304 51.54121384836031)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Redhill Street,NW1 4AX,CA-G,N/A,954,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.143883,51.531746,46128825,Defined By Custodian,2019-11-29T23:02:14.000,"{'latitude': '51.531746', 'longitude': '-0.143883', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},15,108,1,,
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Roderick Road,NW3 2NN,CA-B,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",527819,185499,-0.15774,51.553909,46046340,Defined By Custodian,2019-11-29T23:02:06.000,"{'latitude': '51.553909', 'longitude': '-0.15774', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},7,47,1,"LINESTRING (527820.3541943956 185502.9995739554,527818.4330951591 185502.31976854766,527820.2552536625 185496.86133100916,527822.2835386933 185497.631110662)","LINESTRING (-0.15771992397807977 51.55394413041608,-0.15774786529835666 51.55393845579296,-0.15772357928762834 51.55388898932368,-0.15769406013960707 51.55389544827269)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Goldhurst Terrace,NW6 3HU,CA-R,CA-R;CA-K,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526271,184394,-0.180453,51.544327,46046506,Defined By Custodian,2019-11-29T23:02:06.000,"{'latitude': '51.544327', 'longitude': '-0.180453', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},17,119,1,"LINESTRING (526270.5795295885 184398.00587511147,526272.6407948637 184397.5260124707,526271.18966411 184391.8176464735,526269.235584629 184392.347494806)","LINESTRING (-0.18045795312553756 51.54436212957934,-0.1804284160064088 51.54435735632561,-0.18045137867862732 51.54430637925601,-0.18047935296196888 51.54431157777194)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Frognal Gardens,NW3 6UY,CA-H,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526171,185667,-0.181438,51.555789,46034973,Defined By Custodian,2019-11-29T23:01:52.000,"{'latitude': '51.555789', 'longitude': '-0.181438', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},6,38,1,"LINESTRING (526173.2465832899 185670.2816899478,526171.3089939313 185670.38166133128,526171.0286618538 185664.40337259864,526173.0239666402 185664.30340121515)","LINESTRING (-0.18140486208506093 51.55581785085883,-0.18143276002194864 51.55581918225152,-0.18143894383187034 51.55576551810471,-0.18141021386018324 51.55576417381793)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Burrard Road,NW6 1DD,CA-P,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.19451,51.554909,46127196,Defined By Custodian,2019-11-29T23:02:13.000,"{'latitude': '51.554909', 'longitude': '-0.19451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},5,36,1,,
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Fellows Road,NW3 3NG,CA-B,N/A,10,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526854,184300,-0.172084,51.543351,46047436,Defined By Custodian,2019-11-29T23:02:09.000,"{'latitude': '51.543351', 'longitude': '-0.172084', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},1,6,2,"LINESTRING (526860.3075248447 184299.4440881295,526859.7138804453 184301.61346715124,526849.4322892523 184299.16416825575,526850.058913896 184297.14474630926)","LINESTRING (-0.17199368559811518 51.543344239990184,-0.17200146003528494 51.54336386952897,-0.17215052818563722 51.54334416615642,-0.17214222433029489 51.54332587688877)"
